mun_id;municipio_resid;data;Mean;0.05 quantile;Median;0.95 quantile
3519619;IBITINGA;08/05/2021;1,191709857;1,066266447;1,190005413;1,322967403
3519620;IBITINGA;10/05/2021;1,174388943;1,05204295;1,172744551;1,302344224
3519621;IBITINGA;11/05/2021;1,131104245;1,013025203;1,12951378;1,254608623
3519622;IBITINGA;12/05/2021;1,184483963;1,065173782;1,182935979;1,309074563
3519623;IBITINGA;13/05/2021;1,190173423;1,07230461;1,188671016;1,313167174
3519624;IBITINGA;14/05/2021;1,166203305;1,051554067;1,164753125;1,285799332
3519625;IBITINGA;15/05/2021;1,091002901;0,981941241;1,089599101;1,204853143
3519626;IBITINGA;16/05/2021;1,046741281;0,941103032;1,045367926;1,15706426
3519627;IBITINGA;17/05/2021;1,076265725;0,96967776;1,074907109;1,187488138
3519628;IBITINGA;18/05/2021;1,088349528;0,981742207;1,087006182;1,199539207
3519629;IBITINGA;19/05/2021;1,023777677;0,921242558;1,022455271;1,130823728
3519630;IBITINGA;20/05/2021;0,912482678;0,816229899;0,911171975;1,013206479
3519631;IBITINGA;21/05/2021;0,88586003;0,790594758;0,884536227;0,985641015
3519632;IBITINGA;22/05/2021;0,905946646;0,808521262;0,904592827;1,007990135
3519633;IBITINGA;23/05/2021;0,921255898;0,821966811;0,919873;1,025262277
3519634;IBITINGA;24/05/2021;0,86974925;0,772531298;0,868342294;0,97176657
3519635;IBITINGA;25/05/2021;0,755497166;0,664076814;0,754058612;0,851824695
3519636;IBITINGA;26/05/2021;0,863715976;0,7638072;0,862216932;0,968738256
3519637;IBITINGA;27/05/2021;0,944180141;0,837629881;0,942622546;1,05604363
3519638;IBITINGA;28/05/2021;0,998278592;0,887734497;0,996694471;1,114226397
3519639;IBITINGA;29/05/2021;1,021709168;0,909605925;1,020118162;1,139239602
3519640;IBITINGA;30/05/2021;1,009728484;0,898431688;1,008141305;1,126439417
3519641;IBITINGA;31/05/2021;1,14981664;1,031001047;1,148233259;1,274033399
3519642;IBITINGA;01/06/2021;1,14854304;1,030805122;1,146987124;1,271588434
3519643;IBITINGA;02/06/2021;1,042856158;0,932385382;1,041345162;1,158481188
3519644;IBITINGA;03/06/2021;0,897525313;0,795994978;0,896037319;1,004131454
3519645;IBITINGA;04/06/2021;0,884608439;0,783304601;0,883104459;0,991042621
3519646;IBITINGA;05/06/2021;0,827664103;0,728605013;0,826123341;0,931979022
3519647;IBITINGA;06/06/2021;0,858297216;0,755849599;0,856708301;0,966164916
3519648;IBITINGA;07/06/2021;0,881569283;0,776058544;0,879928172;0,992678158
3519649;IBITINGA;08/06/2021;0,838985495;0,734825421;0,837301388;0,948890384
3519650;IBITINGA;09/06/2021;0,754584484;0,654552228;0,752850518;0,860531661
3519651;IBITINGA;10/06/2021;0,744915876;0,643414436;0,743104215;0,852597285
3519652;IBITINGA;11/06/2021;0,676425898;0,577361729;0,674516053;0,782005002
3519653;IBITINGA;12/06/2021;0,676642101;0,574580335;0,674611231;0,785631665
3519654;IBITINGA;13/06/2021;0,711482031;0,603220818;0,709307432;0,827161343
3519655;IBITINGA;14/06/2021;0,632742725;0,527734026;0,630426502;0,745652715
3519656;IBITINGA;15/06/2021;0,62614769;0,518168559;0,623664738;0,742596912
3519657;IBITINGA;16/06/2021;0,524392179;0,422185042;0,521705454;0,6357647
3519658;IBITINGA;17/06/2021;0,663412862;0,542635345;0,660466701;0,794240683
3519659;IBITINGA;18/06/2021;0,616515787;0,495463892;0,613307757;0,748511435
3519660;IBITINGA;19/06/2021;0,664583439;0,534093538;0,66112529;0,806870342
3519661;IBITINGA;21/06/2021;0,739241168;0,596201567;0,735510997;0,895005705
3519662;IBITINGA;22/06/2021;0,606992238;0,474272072;0,603029611;0,753230642
3519663;IBITINGA;23/06/2021;0,459720725;0,341357534;0,45547113;0,592581741
3519664;IBITINGA;24/06/2021;0,538688115;0,403447747;0,53397022;0,690023825
3519665;IBITINGA;25/06/2021;0,458680256;0,328130006;0,453418979;0,607180387
3519666;IBITINGA;26/06/2021;0,547092261;0,396103829;0,541220926;0,718111671
3519667;IBITINGA;27/06/2021;0,825962344;0,628087936;0,819416417;1,046168234
3519668;IBITINGA;28/06/2021;0,941361712;0,723028871;0,93439792;1,183451391
3519669;IBITINGA;29/06/2021;0,917896897;0,700411667;0,910791306;1,159622835
3519670;IBITINGA;30/06/2021;1,041014017;0,806791666;1,033793746;1,299868001
3519671;IBITINGA;01/07/2021;1,045909106;0,810585387;1,038654884;1,305980281
3519672;IBITINGA;02/07/2021;1,103576285;0,862276943;1,096371809;1,369453218
3519673;IBITINGA;03/07/2021;1,004344346;0,776120639;0,997230387;1,256837061
3519674;IBITINGA;05/07/2021;0,828524268;0,623028416;0,821453725;1,058141561
3519675;IBITINGA;06/07/2021;0,762007521;0,563224557;0,754762723;0,985506781
3519676;IBITINGA;07/07/2021;0,708120861;0,512691194;0,700521385;0,929477331
3519677;IBITINGA;08/07/2021;0,654624222;0,462070363;0,64656042;0,874689685
3519678;IBITINGA;09/07/2021;0,650942462;0,452590552;0,642284104;0,8788349
3519679;IBITINGA;10/07/2021;0,47806558;0,304616086;0,468725126;0,683385852
3519680;IBITINGA;11/07/2021;0,496937323;0,311702592;0,486623685;0,717364114
3519681;IBITINGA;12/07/2021;0,453715349;0,268375361;0,442136152;0,678568626
3519682;IBITINGA;13/07/2021;0,471686253;0,272171321;0,458650541;0,715686181
3519683;IBITINGA;14/07/2021;0,533123161;0,307621505;0,518389554;0,808903962
3519684;IBITINGA;15/07/2021;0,49713262;0,269714615;0,480663342;0,780757538
3519685;IBITINGA;16/07/2021;0,611080611;0,342705522;0,592666109;0,942298482
3519686;IBITINGA;17/07/2021;0,615136693;0,333736612;0,594758114;0,96608549
3519687;IBITINGA;18/07/2021;1,34499398;0,891371331;1,322645051;1,874870475
3524303;JABOTICABAL;14/04/2021;1,620819847;1,342889569;1,614468141;1,920417669
3524303;JABOTICABAL;15/04/2021;1,173317784;0,952560866;1,167735311;1,413118413
3524303;JABOTICABAL;16/04/2021;1,173853822;0,958773957;1,168570447;1,406957
3524303;JABOTICABAL;17/04/2021;1,159193293;0,948156554;1,154045414;1,387791111
3524303;JABOTICABAL;18/04/2021;1,231525743;1,01668464;1,226523175;1,463432121
3524303;JABOTICABAL;19/04/2021;1,246352297;1,033828236;1,241524817;1,475344306
3524303;JABOTICABAL;20/04/2021;1,429080678;1,205618165;1,424458492;1,668310664
3524303;JABOTICABAL;21/04/2021;1,378825939;1,166180595;1,37449244;1,606253945
3524303;JABOTICABAL;22/04/2021;1,390937899;1,184685299;1,386908279;1,610936503
3524303;JABOTICABAL;23/04/2021;1,366625876;1,168890891;1,362862916;1,577197197
3524303;JABOTICABAL;24/04/2021;1,26681897;1,08278913;1,263301772;1,462846799
3524303;JABOTICABAL;25/04/2021;1,12964602;0,9607155;1,126315485;1,30993781
3524303;JABOTICABAL;26/04/2021;1,007257756;0,850485483;1,004031212;1,175036602
3524303;JABOTICABAL;27/04/2021;0,807496991;0,668244183;0,804294908;0,957673055
3524303;JABOTICABAL;28/04/2021;0,857920066;0,712438572;0,854635264;1,014606971
3524303;JABOTICABAL;29/04/2021;0,859199677;0,711030744;0,85579257;1,018991265
3524303;JABOTICABAL;30/04/2021;0,758451539;0,61765492;0,754943094;0,911216631
3524303;JABOTICABAL;01/05/2021;0,670320527;0,535667234;0,666661153;0,817457324
3524303;JABOTICABAL;02/05/2021;0,772478238;0,623007424;0,768580355;0,935246115
3524303;JABOTICABAL;03/05/2021;0,806327545;0,649169538;0,802196323;0,977578634
3524303;JABOTICABAL;04/05/2021;0,970943888;0,794178862;0,966632008;1,162418127
3524303;JABOTICABAL;05/05/2021;0,872179169;0,703416705;0,8677782;1,055954897
3524303;JABOTICABAL;06/05/2021;0,860624926;0,69164259;0,856146678;1,04488419
3524303;JABOTICABAL;07/05/2021;0,914520959;0,737565564;0,909906337;1,107218471
3524303;JABOTICABAL;08/05/2021;1,304987764;1,089547593;1,300262605;1,536546772
3524303;JABOTICABAL;09/05/2021;1,269594338;1,059997261;1,264997333;1,494873082
3524303;JABOTICABAL;10/05/2021;1,318869216;1,110685645;1,314519076;1,541892257
3524303;JABOTICABAL;11/05/2021;1,151187456;0,962121871;1,147063976;1,354319377
3524303;JABOTICABAL;12/05/2021;1,095061058;0,914277645;1,091096011;1,289370352
3524303;JABOTICABAL;13/05/2021;1,028041664;0,854664407;1,0241502;1,214693826
3524303;JABOTICABAL;14/05/2021;0,938663002;0,773947729;0,93480303;1,116545819
3524303;JABOTICABAL;15/05/2021;0,747454703;0,600693161;0,743565335;0,907484293
3524303;JABOTICABAL;16/05/2021;0,72802986;0,580631946;0,723989268;0,889211773
3524303;JABOTICABAL;17/05/2021;0,565816572;0,433191962;0,561535904;0,713044635
3524303;JABOTICABAL;18/05/2021;0,570318215;0,432136306;0,565688243;0,724295358
3524303;JABOTICABAL;19/05/2021;0,673160534;0,515375028;0,668067758;0,848319986
3524303;JABOTICABAL;20/05/2021;0,629621076;0,47155153;0,624106779;0,80650293
3524303;JABOTICABAL;21/05/2021;0,696060236;0,523418955;0,690120128;0,888966435
3524303;JABOTICABAL;22/05/2021;0,517766798;0,365468744;0,511388835;0,691824809
3524303;JABOTICABAL;23/05/2021;0,58587623;0,416403973;0,578916467;0,779093232
3524303;JABOTICABAL;24/05/2021;0,692971218;0,498800203;0,685286933;0,913358524
3524303;JABOTICABAL;25/05/2021;1,046692635;0,795938243;1,038397373;1,325746377
3524303;JABOTICABAL;26/05/2021;1,018959217;0,769205669;1,010480585;1,297637862
3524303;JABOTICABAL;27/05/2021;0,936354402;0,698333507;0,927932421;1,203107431
3524303;JABOTICABAL;28/05/2021;0,945865002;0,705426516;0,937357479;1,215327455
3524303;JABOTICABAL;29/05/2021;0,909125189;0,671964014;0,900481667;1,175774535
3524303;JABOTICABAL;30/05/2021;0,979344327;0,73039541;0,970535675;1,258344527
3524303;JABOTICABAL;31/05/2021;0,912676111;0,67135694;0,903744069;1,184467895
3524303;JABOTICABAL;01/06/2021;0,654163521;0,45107406;0,645100693;0,888173743
3524303;JABOTICABAL;02/06/2021;0,71924979;0,500083614;0,709682858;0,971056358
