data;mun_id;drs_desc;mun_desc;obitos_novos
22/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
23/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
24/12/2020;3503208;DRS 03 - Araraquara;Araraquara;2
25/12/2020;3503208;DRS 03 - Araraquara;Araraquara;1
26/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
27/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
28/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
30/12/2020;3503208;DRS 03 - Araraquara;Araraquara;1
31/12/2020;3503208;DRS 03 - Araraquara;Araraquara;1
01/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
02/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
03/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
04/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
05/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
06/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
07/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
08/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
09/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
10/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
11/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
12/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
13/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
14/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
15/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
16/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
17/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
18/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
19/01/2021;3503208;DRS 03 - Araraquara;Araraquara;2
20/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
21/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
22/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
23/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
24/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
25/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
26/01/2021;3503208;DRS 03 - Araraquara;Araraquara;1
27/01/2021;3503208;DRS 03 - Araraquara;Araraquara;4
28/01/2021;3503208;DRS 03 - Araraquara;Araraquara;0
29/01/2021;3503208;DRS 03 - Araraquara;Araraquara;2
30/01/2021;3503208;DRS 03 - Araraquara;Araraquara;2
31/01/2021;3503208;DRS 03 - Araraquara;Araraquara;2
01/02/2021;3503208;DRS 03 - Araraquara;Araraquara;5
02/02/2021;3503208;DRS 03 - Araraquara;Araraquara;0
03/02/2021;3503208;DRS 03 - Araraquara;Araraquara;0
04/02/2021;3503208;DRS 03 - Araraquara;Araraquara;5
05/02/2021;3503208;DRS 03 - Araraquara;Araraquara;1
06/02/2021;3503208;DRS 03 - Araraquara;Araraquara;0
07/02/2021;3503208;DRS 03 - Araraquara;Araraquara;1
08/02/2021;3503208;DRS 03 - Araraquara;Araraquara;1
09/02/2021;3503208;DRS 03 - Araraquara;Araraquara;1
10/02/2021;3503208;DRS 03 - Araraquara;Araraquara;4
11/02/2021;3503208;DRS 03 - Araraquara;Araraquara;1
12/02/2021;3503208;DRS 03 - Araraquara;Araraquara;6
13/02/2021;3503208;DRS 03 - Araraquara;Araraquara;2
14/02/2021;3503208;DRS 03 - Araraquara;Araraquara;3
15/02/2021;3503208;DRS 03 - Araraquara;Araraquara;2
16/02/2021;3503208;DRS 03 - Araraquara;Araraquara;5
17/02/2021;3503208;DRS 03 - Araraquara;Araraquara;5
18/02/2021;3503208;DRS 03 - Araraquara;Araraquara;4
19/02/2021;3503208;DRS 03 - Araraquara;Araraquara;5
20/02/2021;3503208;DRS 03 - Araraquara;Araraquara;3
21/02/2021;3503208;DRS 03 - Araraquara;Araraquara;1
22/02/2021;3503208;DRS 03 - Araraquara;Araraquara;6
23/02/2021;3503208;DRS 03 - Araraquara;Araraquara;4
24/02/2021;3503208;DRS 03 - Araraquara;Araraquara;4
25/02/2021;3503208;DRS 03 - Araraquara;Araraquara;7
26/02/2021;3503208;DRS 03 - Araraquara;Araraquara;5
27/02/2021;3503208;DRS 03 - Araraquara;Araraquara;5
28/02/2021;3503208;DRS 03 - Araraquara;Araraquara;3
01/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
02/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
03/03/2021;3503208;DRS 03 - Araraquara;Araraquara;7
04/03/2021;3503208;DRS 03 - Araraquara;Araraquara;1
05/03/2021;3503208;DRS 03 - Araraquara;Araraquara;9
06/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
07/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
08/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
09/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
10/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
11/03/2021;3503208;DRS 03 - Araraquara;Araraquara;5
12/03/2021;3503208;DRS 03 - Araraquara;Araraquara;7
13/03/2021;3503208;DRS 03 - Araraquara;Araraquara;2
14/03/2021;3503208;DRS 03 - Araraquara;Araraquara;6
15/03/2021;3503208;DRS 03 - Araraquara;Araraquara;5
16/03/2021;3503208;DRS 03 - Araraquara;Araraquara;5
17/03/2021;3503208;DRS 03 - Araraquara;Araraquara;5
18/03/2021;3503208;DRS 03 - Araraquara;Araraquara;3
19/03/2021;3503208;DRS 03 - Araraquara;Araraquara;2
20/03/2021;3503208;DRS 03 - Araraquara;Araraquara;3
21/03/2021;3503208;DRS 03 - Araraquara;Araraquara;2
22/03/2021;3503208;DRS 03 - Araraquara;Araraquara;3
23/03/2021;3503208;DRS 03 - Araraquara;Araraquara;3
24/03/2021;3503208;DRS 03 - Araraquara;Araraquara;1
25/03/2021;3503208;DRS 03 - Araraquara;Araraquara;2
26/03/2021;3503208;DRS 03 - Araraquara;Araraquara;0
27/03/2021;3503208;DRS 03 - Araraquara;Araraquara;7
28/03/2021;3503208;DRS 03 - Araraquara;Araraquara;0
29/03/2021;3503208;DRS 03 - Araraquara;Araraquara;2
30/03/2021;3503208;DRS 03 - Araraquara;Araraquara;1
31/03/2021;3503208;DRS 03 - Araraquara;Araraquara;2
01/04/2021;3503208;DRS 03 - Araraquara;Araraquara;2
02/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
03/04/2021;3503208;DRS 03 - Araraquara;Araraquara;0
04/04/2021;3503208;DRS 03 - Araraquara;Araraquara;2
05/04/2021;3503208;DRS 03 - Araraquara;Araraquara;0
06/04/2021;3503208;DRS 03 - Araraquara;Araraquara;0
07/04/2021;3503208;DRS 03 - Araraquara;Araraquara;4
08/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
09/04/2021;3503208;DRS 03 - Araraquara;Araraquara;0
10/04/2021;3503208;DRS 03 - Araraquara;Araraquara;3
11/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
12/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
13/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
14/04/2021;3503208;DRS 03 - Araraquara;Araraquara;8
15/04/2021;3503208;DRS 03 - Araraquara;Araraquara;4
16/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
17/04/2021;3503208;DRS 03 - Araraquara;Araraquara;5
18/04/2021;3503208;DRS 03 - Araraquara;Araraquara;3
19/04/2021;3503208;DRS 03 - Araraquara;Araraquara;2
20/04/2021;3503208;DRS 03 - Araraquara;Araraquara;3
21/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
22/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
23/04/2021;3503208;DRS 03 - Araraquara;Araraquara;0
24/04/2021;3503208;DRS 03 - Araraquara;Araraquara;2
25/04/2021;3503208;DRS 03 - Araraquara;Araraquara;0
26/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
27/04/2021;3503208;DRS 03 - Araraquara;Araraquara;1
28/04/2021;3503208;DRS 03 - Araraquara;Araraquara;5
29/04/2021;3503208;DRS 03 - Araraquara;Araraquara;2
30/04/2021;3503208;DRS 03 - Araraquara;Araraquara;2
01/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
02/05/2021;3503208;DRS 03 - Araraquara;Araraquara;4
03/05/2021;3503208;DRS 03 - Araraquara;Araraquara;1
04/05/2021;3503208;DRS 03 - Araraquara;Araraquara;0
05/05/2021;3503208;DRS 03 - Araraquara;Araraquara;4
06/05/2021;3503208;DRS 03 - Araraquara;Araraquara;4
07/05/2021;3503208;DRS 03 - Araraquara;Araraquara;3
