Data;Município1;DATA_DIA;DIA;STR_DATA;UF1;Escala de cor;Número de registros;Índice De Isolamento
terça-feira, 16/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (16/3/2021);SP;>40-50%;1;44%
quarta-feira, 17/03;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (17/3/2021);SP;>40-50%;1;43%
quinta-feira, 18/03;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (18/3/2021);SP;>40-50%;1;44%
sexta-feira, 19/03;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (19/3/2021);SP;>40-50%;1;43%
sábado, 20/03;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (20/3/2021);SP;>40-50%;1;47%
domingo, 21/03;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (21/3/2021);SP;>50-60%;1;51%
segunda-feira, 22/03;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (22/3/2021);SP;>40-50%;1;43%
terça-feira, 23/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (23/3/2021);SP;>40-50%;1;45%
quarta-feira, 24/03;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (24/3/2021);SP;>40-50%;1;43%
quinta-feira, 25/03;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (25/3/2021);SP;>40-50%;1;43%
sexta-feira, 26/03;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (26/3/2021);SP;>40-50%;1;43%
sábado, 27/03;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (27/3/2021);SP;>40-50%;1;46%
domingo, 28/03;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (28/3/2021);SP;>50-60%;1;51%
segunda-feira, 29/03;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (29/3/2021);SP;>40-50%;1;44%
terça-feira, 30/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (30/3/2021);SP;>40-50%;1;44%
quarta-feira, 31/03;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (31/3/2021);SP;>40-50%;1;43%
