t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
132;138;0,920274618;0,10288983;0,729720538;0,757823467;0,848946423;0,916442994;0,987427093;1,095796621;1,132600047
133;139;0,689713847;0,089793095;0,525042136;0,548955451;0,62721515;0,685821096;0,747970657;0,843751919;0,876502966
134;140;0,741429692;0,094161665;0,568449893;0,59363783;0,675935182;0,737447343;0,802584596;0,902806827;0,937036208
135;141;0,564348995;0,084128181;0,411640029;0,433457842;0,50556054;0,560174181;0,618588774;0,709482438;0,740776358
136;142;0,724102529;0,098537873;0,543968105;0,569995421;0,655431146;0,719637698;0,787908817;0,893441023;0,929604233
137;143;0,570386839;0,091334991;0,405600801;0,428915872;0,506418284;0,565519215;0,629052299;0,728463901;0,762826129
138;144;0,639133904;0,101055943;0,456606632;0,482478017;0,568385844;0,633815751;0,704087946;0,813932824;0,85187416
139;145;1,105822506;0,13932054;0,849744376;0,887064404;1,008938699;1,099977129;1,196336507;1,344521339;1,395112728
140;146;0,997657932;0,138350263;0,745098662;0,781509266;0,90118841;0,991270028;1,087167004;1,235598465;1,286510243
141;147;1,129288033;0,149577854;0,855311728;0,895021306;1,025126999;1,12269092;1,226260368;1,386060137;1,440746822
142;148;1,104305038;0,147568968;0,834180158;0,873292137;1,001517175;1,097738795;1,199937893;1,357718038;1,411736855
143;149;1,027140549;0,141088605;0,769398755;0,806598568;0,928788869;1,020687818;1,118461082;1,269695509;1,321543871
144;150;1,216783222;0,152097903;0,937071349;0,977869771;1,111036576;1,210451711;1,315630272;1,477295757;1,532469402
145;151;1,332225867;0,158106122;1,040479455;1,083260233;1,222453003;1,325976532;1,435188436;1,602510081;1,659480374
146;152;0,894868139;0,127838306;0,662028375;0,695475017;0,805650281;0,888788018;0,977461103;1,115003278;1,162251747
147;153;1,049081838;0,135435883;0,800559963;0,836683305;0,954836384;1,043259397;1,136982601;1,281342941;1,330685152
148;154;0,998791925;0,131147805;0,758424583;0,793297055;0,907487297;0,993057643;1,083848013;1,223848676;1,271739567
149;155;0,93132248;0,126736937;0,699638111;0,73311379;0,842999074;0,925579927;1,013388525;1,149121398;1,19563361
150;156;0,917621892;0,126045061;0,687361766;0,720595156;0,829756941;0,911857183;0,999205391;1,134314478;1,180634518
151;157;0,735627893;0,113509848;0,53017588;0,559394757;0,656222499;0,729797886;0,808681433;0,931750145;0,974201294
152;158;0,698141857;0,111792167;0,496447108;0,524984279;0,61984565;0,692183984;0,769947183;0,891624956;0,933683622
153;159;0,711364413;0,115398546;0,503403797;0,53277279;0,630508366;0,705134199;0,785432985;0,911210736;0,954718924
154;160;0,94014052;0,137133589;0,690779892;0,726506267;0,844375601;0,933481329;1,028649742;1,176492358;1,22733452
155;161;0,943797175;0,142282778;0,685764472;0,722575777;0,844336038;0,936656906;1,035478713;1,18937752;1,242395678
156;162;0,940545788;0,145129366;0,677862675;0,715220817;0,839021078;0,933091763;1,03394926;1,191300225;1,245576646
157;163;0,936222039;0,146213318;0,671849099;0,709385608;0,833900102;0,928621577;1,030263309;1,188987583;1,243774335
158;164;1,134781184;0,162111598;0,839517367;0,881931011;1,021644128;1,127070989;1,239517219;1,413934282;1,473850008
159;165;1,07855975;0,159024959;0,789641294;0,830978368;0,967471084;1,070754248;1,18114382;1,352769378;1,411823939
160;166;1,212251391;0,168109021;0,905367322;0,949609746;1,095031543;1,204489467;1,321013617;1,501372275;1,563235035
161;167;0,847460299;0,139321615;0,596690259;0,632036247;0,749799557;0,83983787;0,936816966;1,088888759;1,141533019
162;168;0,872476614;0,139708069;0,620416162;0,656079422;0,774628865;0,865030986;0,962212629;1,114274864;1,166836105
163;169;0,785914384;0,132843777;0,547418165;0,580894898;0,692708643;0,778442291;0,870980132;1,016425604;1,06685839
164;170;0,833023893;0,138837316;0,583439694;0,618547232;0,735658637;0,825323535;0,922000326;1,073770926;1,126353065
165;171;0,677498424;0,128035167;0,450192783;0,481523266;0,587318605;0,66945026;0,758912191;0,900931648;0,950520186
166;172;1,017137708;0,160823593;0,726658091;0,767830624;0,90454703;1,008674233;1,120507605;1,295318183;1,355699213
167;173;0,970247088;0,161707848;0,679549132;0,720439901;0,856842951;0,961278257;1,07388052;1,25065214;1,311896081
168;174;1,199107584;0,182862192;0,867800105;0,91499268;1,07123418;1,189825096;1,316867487;1,51488968;1,583151035
169;175;1,095723745;0,17545622;0,779166696;0,823955382;0,97283896;1,086372948;1,208421187;1,399392727;1,465403206
170;176;1,104319842;0,174608298;0,788942285;0,833643848;0,982078656;1,095130935;1,216549904;1,406344057;1,471900538
171;177;0,944138581;0,159588548;0,657627115;0,697843551;0,832168196;0,935162169;1,046330188;1,221057468;1,281643633
172;178;1,035478481;0,165809257;0,736326424;0,778652531;0,919350167;1,026641811;1,141979574;1,322451084;1,384832165
173;179;0,637568369;0,130143098;0,408502084;0,439630984;0,545644649;0,628735451;0,719872667;0,865642101;0,91680453
174;180;0,671278171;0,134255634;0,434415839;0,466729666;0,57652167;0,662349322;0,756310386;0,906290062;0,958856361
175;181;0,39422803;0,105361873;0,215528133;0,238337244;0,319003066;0,384882421;0,459282612;0,582009234;0,625988942
