t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
202;208;1,27023427;0,045164331;1,183244479;1,196869649;1,239486659;1,269699023;1,300398411;1,345424673;1,360265771
203;209;1,322153066;0,045032712;1,235352195;1,24896304;1,29150672;1,321641828;1,352242112;1,39708698;1,41185922
204;210;1,397521907;0,045270175;1,310191004;1,323902063;1,366727052;1,397033123;1,427783939;1,472809047;1,487630496
205;211;1,469084774;0,04525083;1,381722227;1,395454571;1,438315598;1,468620194;1,49934751;1,544299708;1,55908746
206;212;1,381974352;0,04256765;1,299792029;1,312710103;1,353029655;1,381537319;1,410442638;1,452729363;1,466640264
207;213;1,286936023;0,039640274;1,210405376;1,222435075;1,259981853;1,286529046;1,313446546;1,352825215;1,365779464
208;214;1,211002859;0,037125675;1,139321812;1,150590432;1,185759477;1,210623493;1,235832693;1,272709341;1,284839784
209;215;1,21438036;0,036109663;1,144629126;1,155601913;1,18983361;1,214022472;1,238536974;1,274379604;1,286165425
210;216;1,221998256;0,03542396;1,153546252;1,164320643;1,197922249;1,221655977;1,245701143;1,280843419;1,292395386
211;217;1,137380105;0,03353951;1,072585589;1,082780492;1,114581945;1,137050446;1,159818902;1,193104216;1,204048022
212;218;1,070886968;0,031956099;1,0091622;1,018871553;1,049163153;1,07056912;1,092264296;1,123986597;1,134418021
213;219;1,037887896;0,030971381;0,978065159;0,98747532;1,016833493;1,037579842;1,058606487;1,089351274;1,099461257
214;220;1,016667475;0,030338147;0,95806786;0,967285624;0,996043547;1,01636572;1,036962459;1,067078645;1,076981922
215;221;1,118479717;0,031648045;1,057303171;1,066937369;1,096973851;1,118181231;1,139660201;1,171040231;1,181352516
216;222;1,052313339;0,030608098;0,993170204;1,002478694;1,031509924;1,052016593;1,072793269;1,103160213;1,113142837
217;223;0,956654316;0,029029538;0,900596353;0,909410998;0,936917433;0,9563607;0,976071128;1,00489919;1,014380858
218;224;0,926955862;0,028390985;0,872138689;0,880756409;0,907651723;0,926666024;0,945944047;0,974143986;0,983420146
219;225;0,825878065;0,026752815;0,774269087;0,78237176;0,80767957;0,825589213;0,843761683;0,870369673;0,879128541
220;226;0,833802015;0,027009497;0,781697871;0,789878285;0,815428913;0,833510392;0,851857219;0,878720501;0,887563407
221;227;0,853672002;0,027653149;0,800326186;0,808701545;0,834861058;0,85337343;0,872157472;0,899660922;0,908714559
222;228;0,799063378;0,027200434;0,746633835;0,754855192;0,780552619;0,798754762;0,817237716;0,844324289;0,853246739
223;229;0,951793312;0,030204248;0,893507087;0,902662606;0,931250453;0,95147383;0,971987904;1,002013804;1,011895103
224;230;1,061363311;0,032461996;0,998684513;1,008538462;1,039291376;1,061032377;1,083074495;1,115317009;1,125922756
225;231;1,147707527;0,034187652;1,081670671;1,092058728;1,124467014;1,147368087;1,170578015;1,204514191;1,215673372
226;232;1,268033889;0,035995231;1,198457248;1,209413567;1,243573398;1,267693311;1,292123113;1,327815959;1,339545989
227;233;1,244451301;0,035325801;1,17616863;1,186921185;1,22044572;1,244117056;1,26809252;1,303121558;1,314633436
228;234;1,198878537;0,034032143;1,13309643;1,143455218;1,175752059;1,198556533;1,221653996;1,255400244;1,266490548
229;235;1,314108432;0,034836038;1,246709892;1,257338043;1,290447109;1,313800619;1,337434205;1,371928802;1,383256232
230;236;1,218656332;0,032840842;1,15513176;1,165145754;1,19634766;1,218361342;1,240643433;1,27317315;1,283857292
231;237;1,149141772;0,031183419;1,088828783;1,098335177;1,127957957;1,148859718;1,170018118;1,200910485;1,211057642
232;238;1,006420378;0,028545908;0,951242213;0,959931333;0,987022174;1,0061505;1,025524386;1,053830001;1,063132218
233;239;0,789047441;0,024852658;0,741082729;0,748618294;0,77214539;0,788786528;0,80566507;0,830366589;0,838494882
